Time,B2,B1,Location,Source
1360,1.168062461,1.162790698,No Man's Mesa,Barger et al
1370,0,0,No Man's Mesa,Barger et al
1380,0,0,No Man's Mesa,Barger et al
1390,0,0,No Man's Mesa,Barger et al
1400,0,0,No Man's Mesa,Barger et al
1410,0,0,No Man's Mesa,Barger et al
1420,1.175138081,1.162790698,No Man's Mesa,Barger et al
1430,0,0,No Man's Mesa,Barger et al
1440,0,0,No Man's Mesa,Barger et al
1450,0,0,No Man's Mesa,Barger et al
1460,0,0,No Man's Mesa,Barger et al
1470,1.181096498,1.162790698,No Man's Mesa,Barger et al
1480,0,0,No Man's Mesa,Barger et al
1490,0,0,No Man's Mesa,Barger et al
1500,0,0,No Man's Mesa,Barger et al
1510,0,0,No Man's Mesa,Barger et al
1520,0,0,No Man's Mesa,Barger et al
1530,0,0,No Man's Mesa,Barger et al
1540,0,0,No Man's Mesa,Barger et al
1550,0,0,No Man's Mesa,Barger et al
1560,3.183496888,3.139534884,No Man's Mesa,Barger et al
1570,1.192906931,1.162790698,No Man's Mesa,Barger et al
1580,0,0,No Man's Mesa,Barger et al
1590,3.187008098,3.139534884,No Man's Mesa,Barger et al
1600,0,0,No Man's Mesa,Barger et al
1610,0,0,No Man's Mesa,Barger et al
1620,0,0,No Man's Mesa,Barger et al
1630,0,0,No Man's Mesa,Barger et al
1640,1.201259354,1.162790698,No Man's Mesa,Barger et al
1650,0,0,No Man's Mesa,Barger et al
1660,3.195360521,3.139534884,No Man's Mesa,Barger et al
1670,0,0,No Man's Mesa,Barger et al
1680,1.206047367,1.162790698,No Man's Mesa,Barger et al
1690,2.168704055,2.093023256,No Man's Mesa,Barger et al
1700,1.208388174,1.162790698,No Man's Mesa,Barger et al
1710,1.209558577,1.162790698,No Man's Mesa,Barger et al
1720,2.103640273,2.093023256,No Man's Mesa,Barger et al
1730,0,0,No Man's Mesa,Barger et al
1740,2.10598108,2.093023256,No Man's Mesa,Barger et al
1750,1.21429339,1.162790698,No Man's Mesa,Barger et al
1760,2.24573787,2.209302326,No Man's Mesa,Barger et al
1770,4.169987243,4.186046512,No Man's Mesa,Barger et al
1780,4.239839038,4.069767442,No Man's Mesa,Barger et al
1790,6.16414161,6.046511628,No Man's Mesa,Barger et al
1800,6.165312014,6.046511628,No Man's Mesa,Barger et al
1810,4.106040664,4.069767442,No Man's Mesa,Barger et al
1820,1.222592613,1.162790698,No Man's Mesa,Barger et al
1830,6.168823223,6.046511628,No Man's Mesa,Barger et al
1840,7.131586311,7.209302326,No Man's Mesa,Barger et al
1850,15.16847955,15.11627907,No Man's Mesa,Barger et al
1860,9.194368871,9.069767442,No Man's Mesa,Barger et al
1870,13.1103786,13.13953488,No Man's Mesa,Barger et al
1880,13.1802836,13.13953488,No Man's Mesa,Barger et al
1890,8.167712404,8.023255814,No Man's Mesa,Barger et al
1900,7.207343323,7.209302326,No Man's Mesa,Barger et al
1910,20.12061538,20.11627907,No Man's Mesa,Barger et al
1920,50.27296996,50.11627907,No Man's Mesa,Barger et al
1930,34.20269469,34.06976744,No Man's Mesa,Barger et al
1940,27.06100035,27.09302326,No Man's Mesa,Barger et al