Year,B
1555,1.125
1565,1.125
1575,2.25
1585,1.125
1595,0
1605,0
1615,0
1625,3.375
1635,0
1645,0
1655,3.09375
1665,1.40625
1675,3.375
1685,9.28125
1695,6.1875
1705,15.1875
1715,7.3125
1725,4.21875
1735,2.25
1745,2.25
1755,0
1765,0
1775,2.25
1785,2.25
1795,3.375
1805,15.1875
1815,7.3125
1825,13.21875
1835,15.1875
1845,10.40625
1855,8.4375
1865,4.5
1875,3.375
1885,0
1895,0
1905,0
1915,501.5311525
1925,11341.91924
1935,2147.448556
1945,286.1967316
1955,109.2699121
1965,11.25
1975,21.09375