Year,Precip
1600,17.58
1601,20.85
1602,27.87
1603,27.02
1604,28.42
1605,30.66
1606,30.41
1607,26.65
1608,26.95
1609,34.84
1610,34.41
1611,30.09
1612,25.45
1613,22.11
1614,30.02
1615,32.68
1616,30.72
1617,32.86
1618,36.77
1619,30.88
1620,36.4
1621,41.49
1622,33
1623,19.57
1624,21.41
1625,24.83
1626,17.84
1627,29.42
1628,22.61
1629,26.65
1630,25.21
1631,25.6
1632,18.67
1633,26.01
1634,25.8
1635,31.14
1636,23.5
1637,20.54
1638,22.22
1639,27.52
1640,35.32
1641,32.77
1642,32.01
1643,29.66
1644,34.26
1645,28.75
1646,26.59
1647,32.17
1648,19.6
1649,30.27
1650,30.07
1651,40.24
1652,28.3
1653,30.37
1654,17.57
1655,30.48
1656,30.36
1657,25.49
1658,21.54
1659,28.21
1660,31.59
1661,33.46
1662,27.17
1663,27.85
1664,24.54
1665,27.19
1666,23.26
1667,21.63
1668,18.99
1669,21.37
1670,15.32
1671,22.84
1672,24.41
1673,27.35
1674,32.37
1675,24.56
1676,19.85
1677,29.76
1678,27.53
1679,22.98
1680,36.15
1681,37.2
1682,30.48
1683,41.75
1684,21.23
1685,16.88
1686,21.41
1687,31.25
1688,29.03
1689,34.3
1690,32.9
1691,30.83
1692,39.56
1693,38.49
1694,26.89
1695,32.88
1696,22.03
1697,26.23
1698,27.9
1699,27.8
1700,20.47
1701,33.67
1702,24.4
1703,20.03
1704,25.47
1705,30.53
1706,25.92
1707,23.55
1708,20.67
1709,26.15
1710,31.95
1711,26.83
1712,30.92
1713,24.82
1714,29.22
1715,25.77
1716,22.67
1717,26.32
1718,35.23
1719,32.09
1720,45.27
1721,32.68
1722,23.75
1723,35.72
1724,24.61
1725,34.33
1726,41.86
1727,32.86
1728,18.52
1729,16.7
1730,23.26
1731,27.31
1732,33.39
1733,23.35
1734,24.66
1735,15.66
1736,23.24
1737,22.4
1738,28.55
1739,20.29
1740,20.8
1741,31.04
1742,23.53
1743,33.32
1744,25.04
1745,36.92
1746,46.67
1747,44.15
1748,18.53
1749,41.47
1750,25.13
1751,21.88
1752,17.04
1753,19.35
1754,23.04
1755,18.17
1756,24.92
1757,22.63
1758,29.84
1759,29.63
1760,36.42
1761,26.91
1762,31.2
1763,23.06
1764,39.91
1765,21.86
1766,38.71
1767,27.42
1768,34.5
1769,28.04
1770,25.16
1771,36.17
1772,29.89
1773,17.74
1774,27.09
1775,25.84
1776,26.5
1777,24.26
1778,17.51
1779,24.52
1780,19.6
1781,25.1
1782,19.48
1783,24.71
1784,38.55
1785,22.9
1786,24.84
1787,36.19
1788,21.33
1789,22.77
1790,19.12
1791,29.66
1792,34.22
1793,44.05
1794,28.38
1795,33.09
1796,28.76
1797,29.47
1798,25.03
1799,31.07
1800,25.04
1801,19.86
1802,28.13
1803,22.49
1804,28.8
1805,21.43
1806,21.71
1807,31.01
1808,24.76
1809,31.38
1810,21.49
1811,30.97
1812,25.42
1813,16.86
1814,25.58
1815,27.13
1816,34.51
1817,24.85
1818,17.69
1819,19.54
1820,17.28
1821,27.99
1822,15.27
1823,21.15
1824,25.26
1825,30.05
1826,35.29
1827,28.37
1828,43.57
1829,22.63
1830,27.83
1831,28.56
1832,24.5
1833,34.34
1834,22.99
1835,34.22
1836,29.04
1837,37.47
1838,38.96
1839,42.32
1840,39.95
1841,28.96
1842,21.56
1843,25.05
1844,33.48
1845,18.37
1846,26.57
1847,15.22
1848,27.34
1849,42.18
1850,37.96
1851,21.04
1852,36.2
1853,29.83
1854,26.44
1855,29.97
1856,31.94
1857,20.53
1858,31.32
1859,24.83
1860,21.36
1861,16.16
1862,34.09
1863,22.66
1864,18.44
1865,31.66
1866,35.93
1867,34.19
1868,46.02
1869,33.38
1870,23.59
1871,23.1
1872,22.12
1873,19.41
1874,28.8
1875,23.13
1876,22.64
1877,25.07
1878,26.76
1879,19.88
1880,21.89
1881,21.24
1882,18.78
1883,21.81
1884,28.62
1885,29.16
1886,26.6
1887,19.63
1888,27.65
1889,28.85
1890,33.97
1891,33.29
1892,34.19
1893,22.67
1894,20.48
1895,27.92
1896,16.76
1897,28.31
1898,24.28
1899,16.31
1900,18.35
1901,21.1
1902,14.79
1903,26.16
1904,15.61
1905,31
1906,30.01
1907,32.83
1908,31.04
1909,32.12
1910,26.73
1911,33.14
1912,35.93
1913,27.18
1914,35.46
1915,39.83
1916,38.2
1917,35.11
1918,24.84
1919,34.76
1920,41.17
1921,28.48
1922,37.64
1923,32.73
1924,31.29
1925,27.42
1926,33.13
1927,29.18
1928,24.83
1929,26.24
1930,25.35
1931,24.56
1932,32.88
1933,24.65
1934,23.26
1935,30.38
1936,21.66
1937,32.14
1938,31.15
1939,24.83
1940,23.35
1941,35.45
1942,32.06
1943,22.56
1944,27.94
1945,26.4
1946,20.31
1947,21.42
1948,26.51
1949,32.9
1950,21.37
1951,16.39
1952,33.18
1953,21.81
1954,21.44
1955,20.83
1956,17.33
1957,25.44
1958,22.71
1959,17
1960,26.8
1961,22.38
1962,23.25
1963,19.74
1964,21.09
1965,31.4
1966,26.12
1967,23.94
1968,25.18
1969,30.37
1970,25.09
1971,18.13
1972,24.03
1973,31.22
1974,21.5
1975,33.04
1976,26.27
1977,17.91
1978,30.62
1979,34.2
1980,33.78
1981,25.67
1982,34.87
1983,39.8
1984,30.62
1985,43.37
1986,37.08
1987,33.87